INDEX,US,EU,JP,US TITLE,EU TITLE,JP TITLE
,0,,,THE DENPA MEN 2: Beyond the Waves,,
,0,,,THE DENPA MEN 3: Rise of Digitoll,,
,0,,,THE DENPA MEN: They Came By Wave,,
,0,,,The Great Ace Attorney 2: The Resolve of Ryunosuke Naruhodo,,
,0,,,The Great Ace Attorney: The Adventure of Ryunosuke Naruhodo,,
,0,,,The Legend of Zelda: A Link Between Worlds,,
,0,,,The Legend of Zelda: Majoras Mask 3D,,
,0,,,The Legend of Zelda: Ocarina of Time 3D,,
,0,,,The Legend of Zelda: Tri Force Heroes,,
,0,,,The Sims 3,,
,0,,,Tomodachi Life,,
,0,,,Ultimate NES Remix,,
,0,,,Virtual Console,,
,0,,,WarioWare Gold,,
,0,,,WEAPON SHOP de OMASSE,,
,0,,,Xenoblade Chronicles 3D,,
,0,,,YO-KAI WATCH,,
,0,,,YO-KAI WATCH 2: Bony Spirits,,
,0,,,YO-KAI WATCH 2: Fleshy Souls,,
,0,,,YO-KAI WATCH 2: Psychic Specters,,
,0,,,Yoshi's New Island,,
