ID,US,EU,JP,US TITLE,EU TITLE,JP TITLE
govctn,0,,,Go Vacation,,
glfstr,0,,,Golf Story,,
gtatde,0,,,Grand Theft Auto: The Trilogy – The Definitive Edition,,
gridas,0,,,GRID Autosport,,
grip,0,,,GRIP,,
hades,0,,,Hades,,
hlwkngt,0,,,Hollow Knight,,
hwaoc,0,,,Hyrule Warriors: Age of Calamity,,ゼルダ無双 厄災の黙示録
hrlwsrde,0,,,Hyrule Warriors: Definitive Edition,,ゼルダ無双 ハイラルオールスターズ DX
jetkva,0,,,Jet Kave Adventure,,
jmpkng,0,,,Jump King,,
jd20,0,,,Just Dance 2020,,
jd20,0,,,Just Dance 2022,,
krbatfl,0,,,Kirby and the Forgotten Land,,星のカービィ ディスカバリー
krbf2,0,,,Kirby Fighters 2,,カービィファイターズ2
krbsa,0,,,Kirby Star Allies,,
krbdb,0,,,Kirby's Dream Buffet,,カービィのグルメフェス
lanoire,0,,,L.A. Noire,,
lorcod,0,,,Labyrinth of Refrain: Coven of Dusk,,
lpsxlbrt,0,,,Lapis x Labyrinth,,
lmjkatmc,0,,,LAYTON’S MYSTERY JOURNEY: Katrielle and the Millionaires’ Conspiracy - Deluxe Edition,,
lomana,0,,,Legend of Mana,,
lctuc,0,,,LEGO City Undercover,,
ldcsv,0,,,LEGO DC Super-Villains,,
lhpcltn,0,,,LEGO Harry Potter Collection,,
ljwrld,0,,,LEGO Jurassic World,,
lmsh2,0,,,LEGO Marvel Super Heroes 2,,
lnmvg,0,,,LEGO NINJAGO Movie Video Game,,
ltincdlbs,0,,,LEGO The Incredibles,,
lwrlds,0,,,LEGO Worlds,,
ltlth,0,,,Little Town Hero,,
lmns3,0,,,Luigi's Mansion 3,,
maso20,0,,,Mario & Sonic at the Olympic Games Tokyo 2020,,マリオ&ソニック AT 東京2020オリンピック
markb,0,,,Mario + Rabbids: Kingdom Battle,,マリオ+ラビッツ キングダムバトル
mglfsr,0,,,Mario Golf: Super Rush,,マリオゴルフ スーパーラッシュ
mk8dx,0,,,Mario Kart 8 Deluxe,,マリオカート8 デラックス
mklhc,0,,,Mario Kart Live: Home Circuit,,
mpsups,0,,,Mario Party Superstars,,マリオパーティ スーパースターズ
msblf,0,,,Mario Strikers™: Battle League,Mario Strikers™: Battle League Football,マリオストライカーズ: バトルリーグ
mtaces,0,,,Mario Tennis Aces,,マリオテニス エース
mm11,0,,,Mega Man 11,,
mmlc,0,,,Mega Man Legacy Collection,,
mmlc2,0,,,Mega Man Legacy Collection 2,,
mmxlc,0,,,Mega Man X Legacy Collection,,
mmxlc2,0,,,Mega Man X Legacy Collection 2,,
mmzxlc,0,,,Mega Man Zero/ZX Legacy Collection,,
m2033r,0,,,Metro 2033 Redux,,
mllr,0,,,Metro: Last Light Redux,,
mtrdre,0,,,Metroid Dread,,メトロイド_ドレッド
mtopia,0,,,Miitopia,,ミートピア
mncft,0,,,Minecraft,,
mncftd,0,,,Minecraft Dungeons,,
mhgu,0,,,Monster Hunter Generations Ultimate,,
mhrise,0,,,Monster Hunter Rise,,
mhs2wor,0,,,Monster Hunter Stories 2: Wings of Ruin,,
mk11,0,,,Mortal Kombat 11,,
mudrunner,0,,,MudRunner - American Wilds,,
nba2k19,0,,,NBA 2K19,,
nlaanw,0,,,Nelke & the Legendary Alchemists ~Ateliers of the New World~,,
twewyneo,0,,,NEO: The World Ends with You,,
newslt,0,,,New Super Lucky's Tale,,
nsmbudx,0,,,New Super Mario Bros. U Deluxe,,
ninjala,0,,,Ninjala,,
swn64,0,,,Nintendo 64™ – Nintendo Switch Online,,NINTENDO 64 Nintendo Switch Online
swnes,0,,0,Nintendo Entertainment System™ – Nintendo Switch Online,,ファミリーコンピュータ Nintendo Switch Online
nssprts,0,,,Nintendo Switch Sports,,
nmh,0,,,No More Heroes,,
nmh2ds,0,,,No More Heroes 2: Desperate Struggle,,
nmh3,0,,,No More Heroes 3,,
octptvl,0,,,Octopath Traveler,,
omori,0,,,OMORI,,
oriatbf,0,,,Ori and the Blind Forest: Definitive Edition,,
oatwotw,0,,,Ori and the Will of the Wisps,,
owle,0,,,Overwatch: Legendary Edition,,
pldns,0,,,Paladins,,
pmtok,0,,,Paper Mario: The Origami King,,
payday2,0,,,PAYDAY 2,,
p4autmx,0,,,Persona 4 Arena Ultimax,,
p5strks,0,,,Persona 5 Strikers,,
pwaat,0,,,Phoenix Wright: Ace Attorney Trilogy,,
pik3dx,0,,,Pikmin 3 Deluxe,,
pvzbfnce,0,,,Plants vs. Zombies: Battle for Neighborville Complete Edition,,
pkmbd,0,,,Pokémon Brilliant Diamond,,ポケットモンスター ブリリアントダイヤモンド
pkmcm,0,,,Pokémon Café Mix,,
pkmhm,0,,,Pokémon Home,,
pkmla,0,,,Pokémon Legends: Arceus,,Pokémon LEGENDS アルセウス
pkmmdrtdx,0,,,Pokémon Mystery Dungeon: Rescue Team DX,,ポケモン不思議のダンジョン 救助隊DX 
pkmqst,0,,,Pokémon Quest,,ポケモンクエスト
pkmsh,0,,,Pokémon Shield,,ポケットモンスター シールド
pkmsp,0,,,Pokémon Shining Pearl,,ポケットモンスター シャイニングパール
pkmsw,0,,,Pokémon Sword,,ポケットモンスター ソード
pkmuni,0,,,Pokémon UNITE,,ポケモンユナイト
pkmlge,0,,,"Pokémon: Let's Go, Eevee!",,ポケットモンスター Let's Go! イーブイ
pkmlgp,0,,,"Pokémon: Let's Go, Pikachu!",,ポケットモンスター Let's Go! ピカチュウ
pkntdx,0,,,Pokkén Tournament DX,,ポッ拳 POKKÉN TOURNAMENT DX
prtlkngt,0,,,Portal Knights,,
ppchmps,0,,,Puyo Puyo Champions,,
pptts,0,,,Puyo Puyo Tetris,,
raylde,0,,,Rayman Legends Definitive Edition,,
rlmryl,0,,,Realm Royale,,
rfgrmt,0,,,Red Faction Guerrilla Re-Mars-tered,,
revl5,0,,,Resident Evil 5,,バイオハザード5
revl6,0,,,Resident Evil 6,,バイオハザード6
rngfitadv,0,,,Ring Fit Adventure,,
rcktlg,0,,,Rocket League,,
runef4s,0,,,Rune Factory 4 Special,,
runef5,0,,,Rune Factory 5,,
swsmd,0,0,0,SEGA Genesis™ – Nintendo Switch Online,SEGA Mega Drive™ – Nintendo Switch Online,セガ メガドライブ for Nintendo Switch Online
smtiiin,0,,,Shin Megami Tensei III Nocturne HD Remaster,,
smtv,0,,,Shin Megami Tensei V,, 真・女神転生V
sksd,0,,,Shovel Knight Showdown,,
skkoc,0,,,Shovel Knight: King of Cards,,
sksoh,0,,,Shovel Knight: Shovel of Hope,,
sksot,0,,,Shovel Knight: Specter of Torment,,
sktt,0,,,Shovel Knight: Treasure Trove,,
skgrl2e,0,,,Skullgirls 2nd Encore,,
smite,0,,,SMITE,,
scciot,0,,,"Snipperclips - Cut it out, together!",,
snccu,0,,,Sonic Colors: Ultimate,Sonic Colours: Ultimate,ソニックカラーズ アルティメット
sncfc,0,,,Sonic Forces,,ソニック フォース
sncmn,0,,,Sonic Mania,,ソニックマニア
sncog,0,,,Sonic Origins,,ソニックオリジンズ
sptn2,0,,,Splatoon 2,,スプラトゥーン2
sptn3,0,,,Splatoon 3,,スプラトゥーン3
spyrt,0,,,Spyro Reignited Trilogy,,
stwvl,0,,,Stardew Valley,,
slbfa,0,,,Starlink: Battle for Atlas,,
sustl,0,,,Steven Universe: Save the Light,,
sosfomt,0,,,STORY OF SEASONS: Friends of Mineral Town,,
sospoot,0,,,STORY OF SEASONS: Pioneers of Olive Town,,
sor4,0,,,Streets of Rage 4,,
sbmr,0,,,Super Bomberman R,,スーパーボンバーマン R
skbc,0,,,Super Kirby Clash,,スーパーカービィハンターズ
sm3das,0,,,Super Mario 3D All-Stars,,スーパーマリオ 3Dコレクション
sm3dwbf,0,,,Super Mario 3D World + Bowser's Fury,,スーパーマリオ 3Dワールド + フューリーワールド
smm2,0,,,Super Mario Maker 2,,スーパーマリオメーカー2
smods,0,,,Super Mario Odyssey,,スーパーマリオ オデッセイ
smprty,0,,,Super Mario Party,,スーパー マリオパーティ
swsnes,0,0,0,Super Nintendo Entertainment System™ – Nintendo Switch Online,Super Nintendo Entertainment System™ – Nintendo Switch Online,スーパーファミコン Nintendo Switch Online
ssbu,0,,,Super Smash Bros. Ultimate,,大乱闘スマッシュブラザーズ SPECIAL
tsncr,0,,,Team Sonic Racing,,チームソニックレーシング
terraria,0,,,Terraria,,
tts99,0,,,Tetris 99,,
tesvs,0,,,The Elder Scrolls V: Skyrim,,
tlozbotw,0,0,,The Legend of Zelda: Breath of the Wild,The Legend of Zelda: Breath of the Wild,ゼルダの伝説 ブレス オブ ザ ワイルド
tlozla,0,,,The Legend of Zelda: Link's Awakening,,
tlozsshd,0,,,The Legend of Zelda: Skyward Sword HD,,
tlm2vg,0,,,The LEGO Movie 2 Videogame,,ゼルダの伝説 夢をみる島
tlpatbp,0,,,The Liar Princess and the Blind Prince,,
twewyfr,0,,,The World Ends with You: Final Remix,,
tmsfee,0,,,Tokyo Mirage Sessions #FE Encore,,
thps12,0,,,Tony Hawk's Pro Skater 1 + 2,,
touche,0,,,Touche,,
nmhtsa,0,,,Travis Strikes Again: No More Heroes,,
trlsmna,0,,,Trials of Mana,,聖剣伝説3
trlsrsng,0,,,Trials Rising,,
ttv,0,,,Twitch,,
tpcmps,0,,,Two Point Campus,,
tphspt,0,,,Two Point Hospital,,
undtle,0,,,Undertale,,
utldgg,0,,,Untitled Goose Game,,
voidtvt,0,,,void tRrLM(); //Void Terrarium,,
wrfc,0,,,Warface,,
wrfrm,0,,,Warframe,,
wrgve,0,,,Wargroove,,
wwgit,0,,,WarioWare: Get It Together!,,おすそわける　メイドインワリオ
woffm,0,,,WORLD OF FINAL FANTASY: MAXIMA,,
wrc8,0,,,WRC 8 FIA World Rally Championship,,
xel,0,,,XEL,,
xenoc2,0,,,Xenoblade Chronicles 2,,ゼノブレイド2
xc2ttgc,0,,,Xenoblade Chronicles 2: Torna - The Golden Country,,ゼノブレイド2 黄金の国イーラ
xenoc3,0,,,Xenoblade Chronicles 3,,ゼノブレイド3
xenocde,0,,,Xenoblade Chronicles: Definitive Edition,,
xnnvlkr,0,,,Xenon Valkyrie+,,
ytlncltn,0,,,Yomawari: The Long Night Collection,,
ykalyle,0,,,Yooka-Laylee,,
ylatil,0,,,Yooka-Laylee and the Impossible Lair,,
yscw,0,,,Yoshi's Crafted World,,ヨッシークラフトワールド
gyt,0,,,YouTube,,
zmbatlg,0,,,Zombie Army Trilogy,,
