ID,US,EU,JP,US TITLE,EU TITLE,JP TITLE
opuwr,0,,,ONE PIECE: Unlimited World Red,,ワンピース アンリミテッドワールド R 
pmatga,0,,,Pac-Man and the Ghostly Adventures,,パックワールド
pmatga2,0,,,Pac-Man and the Ghostly Adventures 2,,パックワールド2
pmcs,0,,,Paper Mario: Color Splash,,ペーパーマリオ カラースプラッシュ
pafqfcs,0,,,Phineas and Ferb: Quest for Cool Stuff,,
psatga,0,,,Pier Solar and the Great Architects,,
pik3,0,,,Pikmin 3,,ピクミン3
ppp,0,,,Pirate Pop Plus,,かいぞくポップ
pxlm,0,,,PixelMaker,,ドットアーティスト
pxlms,0,,,PixelMaker Studio,,
pcards,0,,,Placards,,
pkmru,0,,,Pokémon Rumble U,,ポケモンスクランブル U
pknt,0,,,Pokkén Tournament,,ポッ拳 POKKÉN TOURNAMENT
psibo,0,,,PSIBO,,
pbmxp,0,,,Pumped BMX +,,
pchess,0,,,Pure Chess,,
pshw,0,,,Pushmo World,,引ク押ス ワールド
ppt,0,,,Puyo Puyo Tetris,,ぷよぷよテトリス
qube,0,,,Q.U.B.E: Director's Cut,,
qod,0,,,Quest of Dungeons,,
rayl,0,,,Rayman Legends,,レイマン レジェンド
rvind,0,,,Replay - VHS is not dead,,
rer,0,,,Resident Evil Revelations,,バイオハザード リベレーションズ アンベールド エディション 
hbra,0,,,RetroArch,,
runb,0,,,Runbow,,
r2flora,0,,,Runner2: Future Legend of Rhythm Alien,,
rush,0,,,RUSH,,
skahbor,0,,,Scram Kitty and his Buddy on Rails,,
snu,0,,,Scribblenauts Unlimited,,
snuadca,0,,,Scribblenauts Unmasked: A DC Comics Adventure,,
sdh,0,,,Shakedown: Hawaii,,
satpc,0,,,Shantae and the Pirate's Curse,,シャンティ -海賊の呪い-
shgh,0,,,Shantae: Half-Genie Hero,,
srrdc,0,,,Shantae: Risky's Revenge - Director's Cut,,シャンティ -リスキィ・ブーツの逆襲-
hbsoh,0,,,Ship of Harkinian,,
sktt,0,,,Shovel Knight: Treasure Trove,,ショベルナイト
sing,0,,,SiNG PARTY,,
slimg,0,,,Skylanders Imaginators,,
slsc,0,,,Skylanders SuperChargers,,
slsf,0,,,Skylanders SWAP Force,,
sltt,0,,,Skylanders Trap Team,,
sbpb,0,,,SmileBASIC,,プチコンBIG
sasrt,0,,,Sonic & All-Stars Racing Transformed,,ソニック&オールスターレーシング TRANSFORMED
sbrol,0,,,Sonic Boom: Rise of Lyric,,ソニックトゥーン 太古の秘宝
slw,0,,,Sonic Lost World,,ソニック ロストワールド
hbsm,0,,,Sonic Mania,,
stbbp,0,,,Spin the Bottle: Bumpie's Party,,わいわい!みんなでチャレンジ
spt,0,,,Splatoon,,スプラトゥーン
sfg,0,,,Star Fox Guard,,スターフォックス ガード
sfz,0,,,Star Fox Zero,,スターフォックス ゼロ
swd,0,,,SteamWorld Dig,,スチームワールド ディグ HD
swh,0,,,SteamWorld Heist,,
sm3dw,0,,,Super Mario 3D World,,スーパーマリオ 3Dワールド
hbsm64,0,,,Super Mario 64,,
smm,0,,,Super Mario Maker,,スーパーマリオメーカー
smb,0,,,Super Meat Boy,,
ssb4,0,,,Super Smash Bros. for Wii U,,大乱闘スマッシュブラザーズ for Wii U
ssii,0,,,Swords & Soldiers II,,
ttt,0,,,TANK! TANK! TANK!,,タンク!タンク!タンク!
ttt2,0,,,Tekken Tag Tournament 2,,鉄拳タッグトーナメント2 Wii U EDITION
tra,0,,,Terraria,,テラリア
tslgd,0,,,Teslagrad,,
ttmns,0,,,Tetraminos,,
tasm,0,,,The Amazing Spider-Man,,
tasm2,0,,,The Amazing Spider-Man 2,,
tbr,0,,,The Beggar's Ride,,
tboir,0,,,The Binding of Isaac Rebirth,,
tcave,0,,,The Cave,,
tgatr,0,,,The Girl and the Robot,,少女とロボット
tlozbotw,0,,,The Legend of Zelda: Breath of the Wild,,ゼルダの伝説　ブレス オブ ザ ワイルド
tlozhh,0,,,The Legend of Zelda: Hyrule Historia,,
tlozwwhd,0,,,The Legend of Zelda: The Wind Waker HD,,ゼルダの伝説 風のタクト HD
tloztphd,0,,,The Legend of Zelda: Twilight Princess HD,,ゼルダの伝説 トワイライトプリンセス HD
tlmvg,0,,,The LEGO Movie Videogame,,LEGOムービー ザ･ゲーム 
tmcogsp,0,,,The Mysterious Cities of Gold: Secret Paths,,
tpmsga,0,,,The Peanuts Movie: Snoopy's Grand Adventure,,
tw101,0,,,The Wonderful 101,,
tntr,0,,,TNT Racers,,
tktr,0,,,Toki Tori,,
tktr2p,0,,,Toki Tori 2+,,
tmsfe,0,,,Tokyo Mirage Sessions #FE,,幻影異聞録♯FE
tcscbl,0,,,Tom Clancy's Splinter Cell Blacklist,,
