ID,US,EU,JP,US TITLE,EU TITLE,JP TITLE
rthmm,0,,,Rhythm Heaven Megamix,,
rctr,0,,,River City: Tokyo Rumble,,
satpc,0,,,Shantae and the Pirate's Curse,,
smtiv,0,,,Shin Megami Tensei IV,,
smtiva,0,,,Shin Megami Tensei IV: Apocalypse,,
smtdssh,0,,,Shin Megami Tensei: Devil Summoner: Soul Hackers,,
smtds2rb,0,,,Shin Megami Tensei: Devil Survivor 2: Record Breaker,,
smtdso,0,,,Shin Megami Tensei: Devil Survivor Overclocked,,
smtsjr,0,,,Shin Megami Tensei: Strange Journey Redux,,
skngt,0,,,Shovel Knight,,
sbsc,0,,,SmileBASIC,,
sasrt,0,,,Sonic & All-Stars Racing Transformed,,
sncbfi,0,,,Sonic Boom: Fire & Ice,,
sncbsc,0,,,Sonic Boom: Shattered Crystal,,
sncg,0,,,Sonic Generations,,
snclw,0,,,Sonic Lost World,,
sf643d,0,,,Star Fox 64 3D,,
strossns,0,,,STORY OF SEASONS,,
strossnstot,0,,,STORY OF SEASONS: Trio of Towns,,
sm3dl,0,,,Super Mario 3D Land,,
smm3ds,0,,,Super Mario Maker for Nintendo 3DS,,
smb3d,0,,,Super Monkey Ball 3D,,
ssb4,0,,,Super Smash Bros. For Nintendo 3DS,,
ssfiv3de,0,,,Super Street Fighter IV: 3D Edition,,
sstwos,0,,,Sushi Striker: The Way of Sushido,,
tra,0,,,Terraria,,
trsu,0,,,Tetris Ultimate,,
tdm2btw,0,,,THE DENPA MEN 2: Beyond the Waves,,
tdm3rod,0,,,THE DENPA MEN 3: Rise of Digitoll,,
tdmtcbw,0,,,THE DENPA MEN: They Came By Wave,,
tga2atarn,0,,,The Great Ace Attorney 2: The Resolve of Ryunosuke Naruhodo,,
tgaatarn,0,,,The Great Ace Attorney: The Adventure of Ryunosuke Naruhodo,,
tlozabw,0,,,The Legend of Zelda: A Link Between Worlds,,
tlozmm3d,0,,,The Legend of Zelda: Majoras Mask 3D,,
tlozoot3d,0,,,The Legend of Zelda: Ocarina of Time 3D,,
tloztfh,0,,,The Legend of Zelda: Tri Force Heroes,,
tsms3,0,,,The Sims 3,,
tmdl,0,,,Tomodachi Life,,
unesr,0,,,Ultimate NES Remix,,
tvc,0,,,Virtual Console,,
wwgld,0,,,WarioWare Gold,,
wsdo,0,,,WEAPON SHOP de OMASSE,,
xenoc3d,0,,,Xenoblade Chronicles 3D,,
ykw,0,,,YO-KAI WATCH,,
ykkw2bs,0,,,YO-KAI WATCH 2: Bony Spirits,,
ykkw2fs,0,,,YO-KAI WATCH 2: Fleshy Souls,,
ykkw2ps,0,,,YO-KAI WATCH 2: Psychic Specters,,
ysnlsd,0,,,Yoshi's New Island,,
